# Standard Model thermodynamics at O(g^4) [1503.04935]                                                    
#   Disclaimer: We do not recommend taking numerical derivatives from any of the functions, but rather    
#   directly using the derivative functions listed.  Theoretical errors are on the ~ 1% level.            
# Update Dec 2019                                    
#   The decoupling of neutrinos at T < 2 MeV has been incorporated into the results.                      
# Columns:                                           
    T[MeV]    p/T^4    e/T^4    s/T^3    c/T^3    w=p/e    c_s^2    g_eff    h_eff    i_eff
    0.10000000E-01    0.36965396E+00    0.11089619E+01    0.17184940E+01    0.51554820E+01    0.33333333E+00    0.33333333E+00    0.33708399E+01    0.39176965E+01    0.39176965E+01
    0.20000000E-01    0.36965396E+00    0.11089619E+01    0.17184940E+01    0.51554824E+01    0.33333333E+00    0.33333331E+00    0.33708399E+01    0.39176965E+01    0.39176968E+01
    0.30000000E-01    0.36965832E+00    0.11089874E+01    0.17185246E+01    0.51560259E+01    0.33332959E+00    0.33330410E+00    0.33709175E+01    0.39177663E+01    0.39181099E+01
    0.40000000E-01    0.36982489E+00    0.11099060E+01    0.17196352E+01    0.51709912E+01    0.33320378E+00    0.33255427E+00    0.33737098E+01    0.39202982E+01    0.39294821E+01
    0.50000000E-01    0.37107515E+00    0.11164254E+01    0.17275835E+01    0.52564223E+01    0.33237793E+00    0.32866148E+00    0.33935262E+01    0.39384182E+01    0.39944020E+01
    0.60000000E-01    0.37520531E+00    0.11368308E+01    0.17526455E+01    0.54788400E+01    0.33004500E+00    0.31989353E+00    0.34555512E+01    0.39955526E+01    0.41634191E+01
    0.70000000E-01    0.38388949E+00    0.11775855E+01    0.18029724E+01    0.58578880E+01    0.32599713E+00    0.30778540E+00    0.35794306E+01    0.41102842E+01    0.44514611E+01
    0.80000000E-01    0.39789616E+00    0.12401979E+01    0.18805268E+01    0.63644827E+01    0.32083280E+00    0.29547205E+00    0.37697495E+01    0.42870870E+01    0.48364269E+01
    0.90000000E-01    0.41705484E+00    0.13220207E+01    0.19819600E+01    0.69490550E+01    0.31546770E+00    0.28521289E+00    0.40184611E+01    0.45183271E+01    0.52806486E+01
    0.10000000E+00    0.44058534E+00    0.14183359E+01    0.21012555E+01    0.75640015E+01    0.31063539E+00    0.27779681E+00    0.43112243E+01    0.47902881E+01    0.57479519E+01
    0.11000000E+00    0.46744165E+00    0.15240265E+01    0.22319086E+01    0.81731602E+01    0.30671491E+00    0.27307779E+00    0.46324850E+01    0.50881414E+01    0.62108570E+01
    0.12000000E+00    0.49655137E+00    0.16345024E+01    0.23681379E+01    0.87529786E+01    0.30379360E+00    0.27055224E+00    0.49682915E+01    0.53987071E+01    0.66514661E+01
    0.13000000E+00    0.52694873E+00    0.17460659E+01    0.25053472E+01    0.92902622E+01    0.30179200E+00    0.26967455E+00    0.53074040E+01    0.57115068E+01    0.70597527E+01
    0.14000000E+00    0.55783118E+00    0.18559565E+01    0.26401605E+01    0.97792090E+01    0.30056263E+00    0.26997689E+00    0.56414314E+01    0.60188442E+01    0.74313078E+01
    0.15000000E+00    0.58856996E+00    0.19622458E+01    0.27702648E+01    0.10218820E+02    0.29994711E+00    0.27109438E+00    0.59645120E+01    0.63154465E+01    0.77653723E+01
    0.16000000E+00    0.61869646E+00    0.20636815E+01    0.28941950E+01    0.10610966E+02    0.29980230E+00    0.27275510E+00    0.62728395E+01    0.65979734E+01    0.80633670E+01
    0.17000000E+00    0.64787843E+00    0.21595303E+01    0.30111240E+01    0.10959056E+02    0.30000896E+00    0.27476127E+00    0.65641849E+01    0.68645397E+01    0.83278837E+01
    0.18000000E+00    0.67589396E+00    0.22494401E+01    0.31206852E+01    0.11267187E+02    0.30047208E+00    0.27697111E+00    0.68374781E+01    0.71143091E+01    0.85620352E+01
    0.19000000E+00    0.70260706E+00    0.23333289E+01    0.32228311E+01    0.11539617E+02    0.30111788E+00    0.27928405E+00    0.70924695E+01    0.73471739E+01    0.87690577E+01
    0.20000000E+00    0.72794675E+00    0.24112984E+01    0.33177278E+01    0.11780467E+02    0.30188994E+00    0.28162956E+00    0.73294683E+01    0.75635124E+01    0.89520817E+01
    0.21000000E+00    0.75188987E+00    0.24835698E+01    0.34056762E+01    0.11993559E+02    0.30274561E+00    0.28395876E+00    0.75491471E+01    0.77640107E+01    0.91140121E+01
    0.22000000E+00    0.77444750E+00    0.25504371E+01    0.34870569E+01    0.12182349E+02    0.30365285E+00    0.28623848E+00    0.77523992E+01    0.79495365E+01    0.92574748E+01
    0.23000000E+00    0.79565446E+00    0.26122338E+01    0.35622911E+01    0.12349907E+02    0.30458777E+00    0.28844679E+00    0.79402385E+01    0.81210498E+01    0.93848041E+01
    0.24000000E+00    0.81556135E+00    0.26693096E+01    0.36318140E+01    0.12498935E+02    0.30553269E+00    0.29056988E+00    0.81137283E+01    0.82795431E+01    0.94980515E+01
    0.25000000E+00    0.83422864E+00    0.27220155E+01    0.36960576E+01    0.12631787E+02    0.30647461E+00    0.29259975E+00    0.82739348E+01    0.84260009E+01    0.95990068E+01
    0.26000000E+00    0.85172232E+00    0.27706926E+01    0.37554390E+01    0.12750508E+02    0.30740413E+00    0.29453249E+00    0.84218955E+01    0.85613742E+01    0.96892244E+01
    0.27000000E+00    0.86811082E+00    0.28156666E+01    0.38103541E+01    0.12856870E+02    0.30831449E+00    0.29636715E+00    0.85586001E+01    0.86865656E+01    0.97700500E+01
    0.28000000E+00    0.88346272E+00    0.28572438E+01    0.38611736E+01    0.12952404E+02    0.30920103E+00    0.29810478E+00    0.86849797E+01    0.88024203E+01    0.98426470E+01
    0.29000000E+00    0.89784532E+00    0.28957094E+01    0.39082417E+01    0.13038433E+02    0.31006057E+00    0.29974780E+00    0.88019011E+01    0.89097226E+01    0.99080210E+01
    0.30000000E+00    0.91132355E+00    0.29313270E+01    0.39518755E+01    0.13116100E+02    0.31089113E+00    0.30129957E+00    0.89101655E+01    0.90091957E+01    0.99670412E+01
