T_in_GK 3He drop1 3H drop2
0.001 1.322E-08 1.011 1.364E-08 1.011
0.002 5.489E-05 1.011 5.653E-05 1.011
0.003 3.025E-03 1.011 3.110E-03 1.011
0.004 3.737E-02 1.011 3.835E-02 1.011
0.005 2.214E-01 1.011 2.269E-01 1.011
0.006 8.556E-01 1.011 8.755E-01 1.011
0.007 2.508E+00 1.011 2.563E+00 1.011
0.008 6.074E+00 1.011 6.198E+00 1.011
0.009 1.280E+01 1.011 1.304E+01 1.011
0.010 2.427E+01 1.011 2.471E+01 1.011
0.011 4.242E+01 1.011 4.314E+01 1.011
0.012 6.945E+01 1.011 7.055E+01 1.011
0.013 1.078E+02 1.011 1.094E+02 1.011
0.014 1.602E+02 1.011 1.624E+02 1.011
0.015 2.293E+02 1.011 2.322E+02 1.011
0.016 3.183E+02 1.011 3.220E+02 1.011
0.018 5.674E+02 1.011 5.729E+02 1.011
0.020 9.321E+02 1.011 9.395E+02 1.011
0.025 2.507E+03 1.011 2.516E+03 1.011
0.030 5.307E+03 1.011 5.305E+03 1.011
0.040 1.570E+04 1.011 1.558E+04 1.011
0.050 3.373E+04 1.011 3.325E+04 1.011
0.060 6.020E+04 1.011 5.900E+04 1.011
0.070 9.539E+04 1.011 9.298E+04 1.011
0.080 1.392E+05 1.011 1.350E+05 1.011
0.090 1.914E+05 1.011 1.847E+05 1.011
0.100 2.516E+05 1.011 2.418E+05 1.011
0.110 3.194E+05 1.011 3.056E+05 1.011
0.120 3.943E+05 1.011 3.758E+05 1.011
0.130 4.759E+05 1.011 4.518E+05 1.011
0.140 5.638E+05 1.011 5.334E+05 1.011
0.150 6.575E+05 1.011 6.199E+05 1.011
0.160 7.568E+05 1.011 7.111E+05 1.011
0.180 9.702E+05 1.011 9.061E+05 1.011
0.200 1.201E+06 1.011 1.116E+06 1.011
0.250 1.843E+06 1.011 1.691E+06 1.011
0.300 2.555E+06 1.011 2.321E+06 1.011
0.350 3.318E+06 1.011 2.988E+06 1.011
0.400 4.118E+06 1.011 3.681E+06 1.011
0.450 4.944E+06 1.011 4.391E+06 1.011
0.500 5.788E+06 1.011 5.113E+06 1.011
0.600 7.510E+06 1.011 6.573E+06 1.011
0.700 9.251E+06 1.011 8.036E+06 1.011
0.800 1.099E+07 1.011 9.489E+06 1.011
0.900 1.271E+07 1.011 1.092E+07 1.011
1.000 1.440E+07 1.011 1.233E+07 1.011
1.250 1.850E+07 1.011 1.572E+07 1.011
1.500 2.236E+07 1.011 1.893E+07 1.011
1.750 2.599E+07 1.011 2.194E+07 1.011
2.000 2.938E+07 1.011 2.477E+07 1.011
2.500 3.546E+07 1.012 2.976E+07 1.013
3.000 4.093E+07 1.014 3.440E+07 1.014
3.500 4.585E+07 1.014 3.863E+07 1.014
4.000 5.031E+07 1.015 4.251E+07 1.015
5.000 5.816E+07 1.016 4.946E+07 1.016
6.000 6.488E+07 1.017 5.552E+07 1.017
7.000 7.072E+07 1.018 6.077E+07 1.018
8.000 7.583E+07 1.018 6.529E+07 1.018
9.000 8.037E+07 1.018 6.912E+07 1.018
10.000 8.437E+07 1.018 7.228E+07 1.019
