6210,28014 0,80263
5633,60294 0,79252
5432,28436 0,78437
5235,96945 0,78113
5046,74908 0,77499
4864,36686 0,76767
4688,57567 0,76030
4519,13732 0,75472
4355,82223 0,74735
4198,40911 0,73824
4046,68467 0,73216
3900,44334 0,72428
3759,48695 0,71536
3623,62453 0,70709
3492,67197 0,69927
3366,45186 0,69045
3244,79315 0,68051
3127,53102 0,67258
3014,50656 0,66331
2905,56665 0,65264
2800,56367 0,64427
2699,35535 0,63455
2601,80455 0,62372
2507,77909 0,61428
2417,15158 0,60440
2329,79922 0,59334
2245,60364 0,58295
2164,45077 0,57290
2086,23065 0,56157
2010,83728 0,55040
1938,16853 0,53973
1868,12592 0,52801
1800,61455 0,51667
1735,54294 0,50562
1672,82293 0,49439
1612,36953 0,48317
1554,10082 0,47178
1497,93786 0,46033
1443,80455 0,44888
1391,62754 0,43727
1341,33614 0,42582
1292,86219 0,41449
1246,14001 0,40349
1201,10632 0,39299
1157,70007 0,38283
1115,86246 0,37305
1075,53681 0,36334
1036,66846 0,35379
999,20476 0,34435
963,09494 0,33503
928,29008 0,32632
894,74302 0,31788
862,40830 0,31001
831,24211 0,30258
801,20222 0,29560
772,24793 0,28896
744,34001 0,28276
717,44064 0,27684
691,51337 0,27131
666,52307 0,26595
642,43589 0,26087
619,21919 0,25618
596,84150 0,25160
575,27251 0,24736
554,48300 0,24328
534,44478 0,23949
515,13072 0,23591
496,51464 0,23245
478,57132 0,22932
461,27644 0,22625
444,60658 0,22352
428,53914 0,22089
413,05235 0,21843
398,12524 0,21609
383,73757 0,21402
369,86985 0,21207
356,50329 0,21034
343,61977 0,20855
331,20185 0,20699
319,23269 0,20554
307,69609 0,20386
296,57639 0,20241
285,85855 0,20101
275,52804 0,19950
265,57085 0,19872
255,97350 0,19716
246,72299 0,19710
237,80678 0,19481
230,36615 0,19495
219,45578 0,19180
204,56411 0,18934
200,49805 0,18934
190,04597 0,18739
186,26848 0,18873
176,55820 0,18560
164,57745 0,18331
161,30618 0,18320
152,89720 0,18192
149,85810 0,18259
142,04592 0,17991
136,45522 0,17706
131,52392 0,17801
126,77084 0,17549
122,18952 0,17600
117,77377 0,17360
113,51760 0,17382
109,41523 0,17119
105,81461 0,17194
98,96492 0,16924
95,28213 0,16825
91,94127 0,16555
88,61864 0,16522
85,41609 0,16025
79,88686 0,15115
76,99987 0,14182
74,71555 0,12836
73,72218 0,11464
72,86381 0,10079
72,30519 0,08412
71,56503 0,06734
70,70220 0,05370
69,87900 0,04039
68,83466 0,02688
67,17861 0,01244
66,01490 0,00569
